Size,Epsilon,MinPts,Radius,Leaders,Leaders Count,Classification RoughDBSCAN,Classification DBSCAN,Rand-Index RoughDBSCAN,Rand-Index DBSCAN,Time RoughDBSCAN,Time DBSCAN
2000,0.5,8,0.4,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 4.  8.  4. ... 10.  1.  8.]
 [ 1.  0.  2. ... 10.  0.  8.]
 [ 5. 12.  5. ...  4.  2. 10.]]",1978,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.03857328664332166,0.03857328664332166,10.432466268539429,0.8818800449371338
2000,0.5,8,0.35,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 4.  8.  4. ... 10.  1.  8.]
 [ 1.  0.  2. ... 10.  0.  8.]
 [ 5. 12.  5. ...  4.  2. 10.]]",1978,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.03857328664332166,0.03857328664332166,10.669992208480835,0.8818800449371338
2000,0.5,8,0.3,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 4.  8.  4. ... 10.  1.  8.]
 [ 1.  0.  2. ... 10.  0.  8.]
 [ 5. 12.  5. ...  4.  2. 10.]]",1978,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.03857328664332166,0.03857328664332166,11.328546285629272,0.8818800449371338
2000,0.5,8,0.25,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 4.  8.  4. ... 10.  1.  8.]
 [ 1.  0.  2. ... 10.  0.  8.]
 [ 5. 12.  5. ...  4.  2. 10.]]",1978,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.03857328664332166,0.03857328664332166,16.771645545959473,0.8818800449371338
4000,0.5,16,0.4,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 2.  4.  3. ...  9.  1.  7.]
 [ 5. 11.  6. ...  9.  8.  8.]
 [ 3.  2.  5. ... 11.  3.  7.]]",3912,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.038450237559389845,0.038450237559389845,53.68022060394287,1.9073262214660645
4000,0.5,16,0.35,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 2.  4.  3. ...  9.  1.  7.]
 [ 5. 11.  6. ...  9.  8.  8.]
 [ 3.  2.  5. ... 11.  3.  7.]]",3912,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.038450237559389845,0.038450237559389845,39.41740536689758,1.9073262214660645
4000,0.5,16,0.3,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 2.  4.  3. ...  9.  1.  7.]
 [ 5. 11.  6. ...  9.  8.  8.]
 [ 3.  2.  5. ... 11.  3.  7.]]",3912,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.038450237559389845,0.038450237559389845,37.56023120880127,1.9073262214660645
4000,0.5,16,0.25,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 2.  4.  3. ...  9.  1.  7.]
 [ 5. 11.  6. ...  9.  8.  8.]
 [ 3.  2.  5. ... 11.  3.  7.]]",3912,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.038450237559389845,0.038450237559389845,37.00948238372803,1.9073262214660645
6000,0.5,24,0.4,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 6. 10.  9. ...  9.  1.  7.]
 [ 5.  7.  7. ...  8.  5.  5.]
 [ 4. 10.  6. ... 11.  1.  8.]]",5814,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.03846968939267656,0.03846968939267656,82.44426584243774,4.236784934997559
6000,0.5,24,0.35,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 6. 10.  9. ...  9.  1.  7.]
 [ 5.  7.  7. ...  8.  5.  5.]
 [ 4. 10.  6. ... 11.  1.  8.]]",5814,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.03846968939267656,0.03846968939267656,81.34049773216248,4.236784934997559
6000,0.5,24,0.3,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 6. 10.  9. ...  9.  1.  7.]
 [ 5.  7.  7. ...  8.  5.  5.]
 [ 4. 10.  6. ... 11.  1.  8.]]",5814,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.03846968939267656,0.03846968939267656,81.54773902893066,4.236784934997559
6000,0.5,24,0.25,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 6. 10.  9. ...  9.  1.  7.]
 [ 5.  7.  7. ...  8.  5.  5.]
 [ 4. 10.  6. ... 11.  1.  8.]]",5814,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.03846968939267656,0.03846968939267656,81.37749648094177,4.236784934997559
8000,0.5,32,0.4,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 5. 11.  6. ...  7.  5. 10.]
 [11. 14.  8. ...  6.  7. 10.]
 [ 5. 10.  6. ...  5.  2.  9.]]",7701,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.038449806225778226,0.038449806225778226,145.1461923122406,7.6139750480651855
