Size,Epsilon,MinPts,Radius,Leaders,Leaders Count,Classification RoughDBSCAN,Classification DBSCAN,Rand-Index RoughDBSCAN,Rand-Index DBSCAN,Time RoughDBSCAN,Time DBSCAN
2000,0.5,8,0.4,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 4.  8.  4. ... 10.  1.  8.]
 [ 1.  0.  2. ... 10.  0.  8.]
 [ 5. 12.  5. ...  4.  2. 10.]]",1978,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.03857328664332166,0.03857328664332166,9.35520339012146,0.1885080337524414
2000,0.5,8,0.35,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 4.  8.  4. ... 10.  1.  8.]
 [ 1.  0.  2. ... 10.  0.  8.]
 [ 5. 12.  5. ...  4.  2. 10.]]",1978,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.03857328664332166,0.03857328664332166,9.25701904296875,0.1885080337524414
2000,0.5,8,0.3,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 4.  8.  4. ... 10.  1.  8.]
 [ 1.  0.  2. ... 10.  0.  8.]
 [ 5. 12.  5. ...  4.  2. 10.]]",1978,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.03857328664332166,0.03857328664332166,9.504940271377563,0.1885080337524414
2000,0.5,8,0.25,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 4.  8.  4. ... 10.  1.  8.]
 [ 1.  0.  2. ... 10.  0.  8.]
 [ 5. 12.  5. ...  4.  2. 10.]]",1978,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.03857328664332166,0.03857328664332166,9.170346975326538,0.1885080337524414
4000,0.5,16,0.4,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 2.  4.  3. ...  9.  1.  7.]
 [ 5. 11.  6. ...  9.  8.  8.]
 [ 3.  2.  5. ... 11.  3.  7.]]",3912,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.038450237559389845,0.038450237559389845,35.33786654472351,0.031141281127929688
4000,0.5,16,0.35,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 2.  4.  3. ...  9.  1.  7.]
 [ 5. 11.  6. ...  9.  8.  8.]
 [ 3.  2.  5. ... 11.  3.  7.]]",3912,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.038450237559389845,0.038450237559389845,35.38592767715454,0.031141281127929688
4000,0.5,16,0.3,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 2.  4.  3. ...  9.  1.  7.]
 [ 5. 11.  6. ...  9.  8.  8.]
 [ 3.  2.  5. ... 11.  3.  7.]]",3912,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.038450237559389845,0.038450237559389845,35.4136598110199,0.031141281127929688
4000,0.5,16,0.25,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 2.  4.  3. ...  9.  1.  7.]
 [ 5. 11.  6. ...  9.  8.  8.]
 [ 3.  2.  5. ... 11.  3.  7.]]",3912,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.038450237559389845,0.038450237559389845,36.32124662399292,0.031141281127929688
6000,0.5,24,0.4,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 6. 10.  9. ...  9.  1.  7.]
 [ 5.  7.  7. ...  8.  5.  5.]
 [ 4. 10.  6. ... 11.  1.  8.]]",5814,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.03846968939267656,0.03846968939267656,78.78730082511902,0.06901288032531738
6000,0.5,24,0.35,"[[ 2.  8.  3. ...  8.  0.  8.]
 [ 5. 12.  3. ...  8.  4. 10.]
 [ 4. 11.  6. ...  7.  3.  9.]
 ...
 [ 6. 10.  9. ...  9.  1.  7.]
 [ 5.  7.  7. ...  8.  5.  5.]
 [ 4. 10.  6. ... 11.  1.  8.]]",5814,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.03846968939267656,0.03846968939267656,78.91001391410828,0.06901288032531738
