Size,Epsilon,MinPts,Radius,Leaders,Leaders Count,Classification RoughDBSCAN,Classification DBSCAN,Rand-Index RoughDBSCAN,Rand-Index DBSCAN,Time RoughDBSCAN,Time DBSCAN
5000,0.5,20,0.02,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [50  1 87 ... 37 38  0]
 [49  0 77 ... 28 30  2]
 [37  3 83 ... 45 46  2]]",5000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6467071814362872,0.6467071814362872,66.39823198318481,2.8875651359558105
5000,0.5,20,0.01,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [50  1 87 ... 37 38  0]
 [49  0 77 ... 28 30  2]
 [37  3 83 ... 45 46  2]]",5000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6467071814362872,0.6467071814362872,66.08007001876831,2.8875651359558105
5000,0.5,20,0.005,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [50  1 87 ... 37 38  0]
 [49  0 77 ... 28 30  2]
 [37  3 83 ... 45 46  2]]",5000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6467071814362872,0.6467071814362872,65.88326811790466,2.8875651359558105
5000,0.5,20,0.001,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [50  1 87 ... 37 38  0]
 [49  0 77 ... 28 30  2]
 [37  3 83 ... 45 46  2]]",5000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6467071814362872,0.6467071814362872,66.10526943206787,2.8875651359558105
10000,0.5,40,0.02,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [38  0 93 ... 55 62  8]
 [37  0 79 ... 42 68 26]
 [56  2 83 ... 27 26  0]]",10000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6413759975997599,0.6413759975997599,264.54357266426086,11.48863935470581
10000,0.5,40,0.01,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [38  0 93 ... 55 62  8]
 [37  0 79 ... 42 68 26]
 [56  2 83 ... 27 26  0]]",10000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6413759975997599,0.6413759975997599,261.13884472846985,11.48863935470581
10000,0.5,40,0.005,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [38  0 93 ... 55 62  8]
 [37  0 79 ... 42 68 26]
 [56  2 83 ... 27 26  0]]",10000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6413759975997599,0.6413759975997599,260.0627031326294,11.48863935470581
10000,0.5,40,0.001,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [38  0 93 ... 55 62  8]
 [37  0 79 ... 42 68 26]
 [56  2 83 ... 27 26  0]]",10000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6413759975997599,0.6413759975997599,260.88043117523193,11.48863935470581
15000,0.5,60,0.02,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [37  0 95 ... 57 84 28]
 [55  0 78 ... 23 34 12]
 [47 33 77 ... 30 48 18]]",15000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6444555859279507,0.6444555859279507,592.395738363266,25.718365907669067
15000,0.5,60,0.01,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [37  0 95 ... 57 84 28]
 [55  0 78 ... 23 34 12]
 [47 33 77 ... 30 48 18]]",15000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6444555859279507,0.6444555859279507,595.0162456035614,25.718365907669067
15000,0.5,60,0.005,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [37  0 95 ... 57 84 28]
 [55  0 78 ... 23 34 12]
 [47 33 77 ... 30 48 18]]",15000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6444555859279507,0.6444555859279507,597.7799789905548,25.718365907669067
15000,0.5,60,0.001,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [37  0 95 ... 57 84 28]
 [55  0 78 ... 23 34 12]
 [47 33 77 ... 30 48 18]]",15000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6444555859279507,0.6444555859279507,591.0869662761688,25.718365907669067
20000,0.5,80,0.02,"[[ 50  21  77 ...  27  48  22]
 [ 55   0  92 ...  36  92  56]
 [ 53   0  82 ...  29  30   2]
 ...
 [ 42   0  79 ...  37  38   2]
 [ 82  -1  86 ...   4 128 124]
 [ 37   0 103 ...  66  80  14]]",20000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6448008350417521,0.6448008350417521,1062.6375494003296,47.45297455787659
20000,0.5,80,0.01,"[[ 50  21  77 ...  27  48  22]
 [ 55   0  92 ...  36  92  56]
 [ 53   0  82 ...  29  30   2]
 ...
 [ 42   0  79 ...  37  38   2]
 [ 82  -1  86 ...   4 128 124]
 [ 37   0 103 ...  66  80  14]]",20000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6448008350417521,0.6448008350417521,1060.1932244300842,47.45297455787659
20000,0.5,80,0.005,"[[ 50  21  77 ...  27  48  22]
 [ 55   0  92 ...  36  92  56]
 [ 53   0  82 ...  29  30   2]
 ...
 [ 42   0  79 ...  37  38   2]
 [ 82  -1  86 ...   4 128 124]
 [ 37   0 103 ...  66  80  14]]",20000,[-1. -1. -1. ... -1. -1. -1.],[-1. -1. -1. ... -1. -1. -1.],0.6448008350417521,0.6448008350417521,1059.9091756343842,47.45297455787659
