Size,Epsilon,MinPts,Radius,Leaders,Leaders Count,Classification RoughDBSCAN,Classification DBSCAN,Rand-Index RoughDBSCAN,Rand-Index DBSCAN,Time RoughDBSCAN,Time DBSCAN
5000,0.5,20,0.02,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [50  1 87 ... 37 38  0]
 [49  0 77 ... 28 30  2]
 [37  3 83 ... 45 46  2]]",5000,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.6467071814362872,0.6467071814362872,142.41429495811462,0.27448296546936035
5000,0.5,20,0.01,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [50  1 87 ... 37 38  0]
 [49  0 77 ... 28 30  2]
 [37  3 83 ... 45 46  2]]",5000,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.6467071814362872,0.6467071814362872,183.78979086875916,0.27448296546936035
5000,0.5,20,0.005,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [50  1 87 ... 37 38  0]
 [49  0 77 ... 28 30  2]
 [37  3 83 ... 45 46  2]]",5000,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.6467071814362872,0.6467071814362872,185.33751916885376,0.27448296546936035
5000,0.5,20,0.001,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [50  1 87 ... 37 38  0]
 [49  0 77 ... 28 30  2]
 [37  3 83 ... 45 46  2]]",5000,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.6467071814362872,0.6467071814362872,186.92328429222107,0.27448296546936035
10000,0.5,40,0.02,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [38  0 93 ... 55 62  8]
 [37  0 79 ... 42 68 26]
 [56  2 83 ... 27 26  0]]",10000,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.6413759975997599,0.6413759975997599,740.2847862243652,0.5869810581207275
10000,0.5,40,0.01,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [38  0 93 ... 55 62  8]
 [37  0 79 ... 42 68 26]
 [56  2 83 ... 27 26  0]]",10000,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.6413759975997599,0.6413759975997599,747.3713715076447,0.5869810581207275
10000,0.5,40,0.005,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [38  0 93 ... 55 62  8]
 [37  0 79 ... 42 68 26]
 [56  2 83 ... 27 26  0]]",10000,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.6413759975997599,0.6413759975997599,742.0899107456207,0.5869810581207275
10000,0.5,40,0.001,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [38  0 93 ... 55 62  8]
 [37  0 79 ... 42 68 26]
 [56  2 83 ... 27 26  0]]",10000,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.6413759975997599,0.6413759975997599,602.3237571716309,0.5869810581207275
15000,0.5,60,0.02,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [37  0 95 ... 57 84 28]
 [55  0 78 ... 23 34 12]
 [47 33 77 ... 30 48 18]]",15000,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.6444555859279507,0.6444555859279507,1074.0350694656372,0.3679659366607666
15000,0.5,60,0.01,"[[50 21 77 ... 27 48 22]
 [55  0 92 ... 36 92 56]
 [53  0 82 ... 29 30  2]
 ...
 [37  0 95 ... 57 84 28]
 [55  0 78 ... 23 34 12]
 [47 33 77 ... 30 48 18]]",15000,[-1. -1. -1. ... -1. -1. -1.],[-1 -1 -1 ... -1 -1 -1],0.6444555859279507,0.6444555859279507,932.6329963207245,0.3679659366607666
